Activelyrecruiting,Title,Company,Link,Experience Level,Employee Count/Domain,Description,Skills
Actively recruiting,Data Analyst,Hyqoo  · India · 1 week ago · Over 100 applicants,https://www.linkedin.com/jobs/view/3871211589/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=awU6wscl7QschmRp6tQ%2FjA%3D%3D&trk=d_flagship3_search_srp_jobs,"Remote
Matches your job preferences, workplace type is Remote.
Contract Associate",51-200 employees · IT Services and IT Consulting,,"['Data Governance', 'Business Tax Planning']"
Actively recruiting,Associate Analyst Data Analytics,"Tyson Foods India · Bengaluru, Karnataka, India · 4 days ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3881927769/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=ZF653rorCAfow6PqwgoLhg%3D%3D&trk=d_flagship3_search_srp_jobs,"Hybrid
Matches your job preferences, workplace type is Hybrid.
Full-time
Matches your job preferences, job type is Full-time.
Associate","10,001+ employees · Food Production",,"['JavaScript, Object-Oriented Programming (OOP), Python (Programming Language), and SQL', 'Cascading Style Sheets (CSS), Debugging, HTML, Java, and Technical Support']"
Actively recruiting,Data Analyst,TELUS International India · India · 2 weeks ago · Over 100 applicants,https://www.linkedin.com/jobs/view/3864938745/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=Y4knduSFrhkUWq%2F4ONZeIg%3D%3D&trk=d_flagship3_search_srp_jobs,"Remote
Matches your job preferences, workplace type is Remote.
Full-time
Matches your job preferences, job type is Full-time.
Associate","10,001+ employees · Information Technology & Services",,"['Python (Programming Language) and SQL', 'Groovy, Linux, Microsoft SQL Server, MySQL, Oracle Database, Scripting, Unix, XML, and XSL']"
Actively recruiting,Data Analyst,Bytical · India · 1 day ago · Over 100 applicants,https://www.linkedin.com/jobs/view/3886240396/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=zSwEESUoniV04Rpcm%2BEOVg%3D%3D&trk=d_flagship3_search_srp_jobs,"Remote
Matches your job preferences, workplace type is Remote.
Part-time",11-50 employees,"About the job
Company Description
 Bytical is dedicated to helping businesses achieve improved results through the effective use of data, AI, and user-friendly analytics. We work closely with our clients to address common and complex challenges that hinder the utilization of data for better business decision-making.
 Role Description
 This is a part-time remote role for a Data Analyst at Bytical. As a Data Analyst, you will be responsible for performing data analysis tasks on a daily basis. This includes collecting, cleaning, and organizing data, conducting statistical analyses, creating data models, and communicating insights to stakeholders.
 Qualifications
  Analytical Skills, Data Analytics, and Statistics proficiency
Strong communication skills
Data modeling experience
Attention to detail and accuracy
Proficiency in data visualization tools
Experience with SQL or other query languages
Ability to work independently and remotely
Strong problem-solving skills
Bachelor's degree in a relevant field (e.g., Mathematics, Statistics, Computer Science)",
Actively recruiting,Data Analyst,"Turno · Bengaluru, Karnataka, India · 2 weeks ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3869251340/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=37jWFIZ9sZXUjyY3kRmQ1Q%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate",51-200 employees · Financial Services,,
Actively recruiting,Data Analyst,"DPDzero · Bengaluru, Karnataka, India · 2 weeks ago",https://www.linkedin.com/jobs/view/3870188655/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=%2B0V6a3CkGv07C3BNNdzSWg%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate",51-200 employees · Financial Services,,
Actively recruiting,Data Analyst,"Xplor Technologies · Pune, Maharashtra, India · 2 weeks ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3867229816/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=7lueZH0PjT6S8STlTXSoUw%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","1,001-5,000 employees · Software Development","About the job
Company Description

At Xplor we help businesses succeed by giving them the software, payments, and commerce-accelerating technologies they need to thrive.

We know our clients and partners because we once were our clients. We understand their industry, customers, and unique goals so that we can help them overcome obstacles and leave a lasting legacy.

Job Description

As a member of the global data engineering team, reporting to the Manager/Lead, this role has a primary focus on contributing to our enterprise data warehousing and reporting deliverables.

Responsibilities include designing, creating, and maintaining business intelligence assets and reports that drive innovation, client value and business efficiency.

This position will be working across our largest business units and experience with multi-terabyte database systems is required.

Qualifications

The ideal candidate should have a minimum of 3-4 years of relevant experience in data analysis, with a strong background in extracting, transforming, and analyzing data to provide actionable insights.

Analyze raw data: data cleaning, structuring and transforming for downstream

processing.

Develop and implement proprietary machine learning algorithms and techniques

Work with datasets of varying degrees of size and complexity, including both structured

and unstructured data.

Work with the business to understand the key problem areas and develop analytics

driven solutions

Create dashboards/automated reports that present actionable insights for stakeholders

Collaboration with the engineering team to bring analytical prototypes to production

Expert-level knowledge of SQL, excellent reporting and dashboarding skills in Tableau.
Demonstrated ability to distill actionable insights from data and identify and drive related growth initiatives
Track record of driving business reviews, using an understanding of inputs and the way they influence outputs
Outstanding written and oral communication skills, with the ability to tailor messaging for your audience
Well-organized and detail-oriented, with outstanding prioritization and project management skills

Additional Information

Ready to apply?

To start your application, please submit your resume and we will be in touch as soon as we can. Please include the word ""moonshot"" at the top of your message to the Hiring Manager so that we know you took the time to read our job ad.

We kindly ask you to apply through our careers portal or external job boards (LinkedIn, Naukri, Indeed, etc) only. Please don't send your application via email. They will not be forwarded.

More About Us

Xplor Technologies is a global platform integrating SaaS solutions, embedded payments, and Commerce Accelerating Technologies to help businesses succeed. Xplor provides enterprise-grade SaaS solutions for businesses in “everyday life” verticals: Childcare & Education; Fitness & Wellbeing, Field Services and Personal Services – and a global cloud-based payment processing platform.

Xplor Technologies serves over 78,000 customers that processed over $36 billion in payments, operating across 20 markets in 2022.

Good to know

To be considered for employment, you must be legally authorised to work in the location (country) you're applying for. Xplor does not sponsor visas, either at the time of hire or at any later time.

To learn more about us and our products, please visit www.xplortechnologies.com/us/careers.

We also invite you to check out our Candidate FAQs for more information about our recruitment process www.xplortechnologies.com/us/recruitment-faqs.

Xplor is committed to providing equal opportunities in employment and creating an inclusive work environment. We provide equal opportunities to all our employees and to all eligible applicants for employment in our company. We do not unfairly discriminate on any ground, including race, religion, color, ancestry, marital status, gender, sexual orientation, age, nationality, ethnic origin, disability or any other category protected by applicable law.

We are a 2024 Circle Back Initiative Employer – we commit to respond to every applicant.",
Actively recruiting,Data Analyst,"Madhu Jayanti International Pvt. Ltd · Kolkata, West Bengal, India · 2 weeks ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3866574763/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=4pJxTB15tprc4MAADozWMg%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate",,,
Actively recruiting,Data Analyst in Pune,"Fintune · Pune, Maharashtra, India · 15 hours ago",https://www.linkedin.com/jobs/view/3888223506/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=CYmh7KfSTLait3ScBxoRjA%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Entry level",,"About the job
This job is sourced from a job board. Learn More
Key Responsibilities

 Work on data acquisition for the research reports and for different mutual fund scheme reports
 Create industry-relevant research reports
 Work on daily/weekly/monthly updation of data & reports in Excel, Word, PDF, or PowerPoint format as and when required
 Create Excel automated dashboard

Required

 BCom/MCom candidates will also do
 Interest in wealth management will be an add on

About Company: Fintune is a budding company catering to the asset management industry in the fields of data analysis, communication, marketing, and automation. We are an enthusiastic team of product managers, data analysts, content writers, and designers exclusively working in the asset management space. Get a chance to interact with marketing, product, and investment teams of leading mutual funds, wealth managers, PMS houses, and other intermediaries in India that are clients of Fintune.
Desired Skills and Experience
MS-Office, MS-PowerPoint, Data Analytics, MS-Excel, Economics",
Actively recruiting,Data Analyst,"Rebel Foods · Mumbai, Maharashtra, India · 1 week ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3880036853/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=Ng7ge5mpdeq1m880FpuIhA%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Entry level","5,001-10,000 employees · Internet Marketplace Platforms","About the job
About Us:

We are surrounded by the world's leading consumer companies led by technology - Amazon for retail, Airbnb for hospitality, Uber for mobility, Netflix and Spotify for entertainment, etc. Food & Beverage is the only consumer sector where large players are still traditional restaurant companies. At Rebel Foods, we are challenging this status quo as we are building the world's most valuable restaurant company on the internet, superfast.
The opportunity for us is immense due to the exponential growth in the food delivery business worldwide which has helped us build 'The World's Largest Internet Restaurant Company' in the last few years. Rebel Foods' current presence in 3 countries (India, MENA, and UK) with 15 + brands and 3500+ internet restaurants has been built on a simple system - The Rebel Operating Model.
While for us it is still Day 1, we know we are in the middle of a revolution towards creating never-seen-before customer-first experiences. We bring you a once-in-a-lifetime opportunity to disrupt the 500-year-old industry with technology at its core.

The Rebel Culture
Finally, but most importantly, Rebel is not a usual workplace. The following slides will give you a sense of our culture, how Rebel conducts itself and who will fit into the company. Please go through it before you make up your mind. It’s not everyone’s cup of tea.

https://www.slideshare.net/JaydeepBarman/culture-rebel

The Role:
Understanding Business and Data Requirements from stakeholders
Creating Business Reports
Report Automation
Creating Dashboards/Visualizations for Business KPIs
Data Mining for Business Insights
Initiatives based on business needs and requirements
Evaluating business processes, uncovering areas of improvement, optimizing strategies and implementing solutions
Problem-solving skills

Requirements:
Acquire, aggregate, restructure, and analyze large datasets.
Ability to work with various SQL and No-SQL data sources, S3, APIs etc.
Data manipulation experience with Python/Pandas
Exhibit strong analytic, technical, trouble-shooting, and problem-solving skills
Ability to work in a team-oriented, fast-paced environment managing multiple
priorities
Project management and organizational skills
Good to know: predictive modelling

Languages - SQL, Python (Pandas)
BI Tools - Tableau/Power BI/Quicksight

Unique Opportunity
Get a chance to work on interesting Data Scientists/Machine Learning problems in the areas of Computer Vision, Natural Language Processing, Time-Series Forecasting, etc.
Get a chance to work on Deep Analytics systems built on large amounts of multi-source data using advanced Data Engineering techniques.",
